index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
60,r0.d1.-d0.-f2.r0.-f1.r0.-r1.-f2.r1.r2.d0.-d1.-f0.d1.f0.r1.-f0.-d0.r1.d0,21,r0.d1.-d0.-f2.r0.-f1.r0.-r1.-f2.r1.r2.d0.-d1.-f0.d1.f0.r1.-f0.-d0.r1.d0,21,0
61,d0.f2.-f0.r0.-r1.-f1.d2.-d1.r2.-d0.-f2.-r1.-f1.-r0.-d2.-f0.d2.f0.-d0.-f0.d0.r0.f1.-d2,24,d0.f2.-f0.r0.-r1.-f1.d2.-d1.r2.-d0.-f2.-r1.-f1.-r0.-d2.-f0.d2.f0.-d0.-f0.d0.r0.f1.-d2,24,0
62,-f2.-r2.r0.f2.r0.f2.-d0.r2.-f0.r1.f1.r2.-f1.r0.f1.-r0.-r0.-f1.r0.-f0.-r1,21,-f2.-r2.r0.f2.r0.f2.-d0.r2.-f0.r1.f1.r2.-f1.r0.f1.-r0.-r0.-f1.r0.-f0.-r1,21,0
63,d2.-r2.f1.d2.-r2.-f0.-r2.-f0.-d2.-f2.r0.-d2.-f1.-d0.f1.r1.-f1.r2.r2.-d1.-r2.-f1.r2.f1.d1,25,d2.-r2.f1.d2.-r2.-f0.-r2.-f0.-d2.-f2.r0.-d2.-f1.-d0.f1.r1.-f1.r2.r2.-d1.-r2.-f1.r2.f1.d1,25,0
64,-f0.-r1.-d2.-d2.-r1.r2.d2.-f1.-r1.r0.-r2.-f1.d0.-d2.-f0.-d1.r2.d1.r2.f0.d1.f0.-d1.-f0.-f0,25,-f0.-r1.-d2.-d2.-r1.r2.d2.-f1.-r1.r0.-r2.-f1.d0.-d2.-f0.-d1.r2.d1.r2.f0.d1.f0.-d1.-f0.-f0,25,0
65,-r2.d2.-f1.-r2.-d1.-r0.-f0.-d2.-r1.r0.-f0.d2.-r1.r0.f0.d0.f2.-r0.d2.f2.-d2.-r0,22,-r2.d2.-f1.-r2.-d1.-r0.-f0.-d2.-r1.r0.-f0.d2.-r1.r0.f0.d0.f2.-r0.d2.f2.-d2.-r0,22,0
66,-r1.-f2.-d2.r1.-d0.r0.r0.-d2.r2.f1.-d0.f1.f2.d0.-f2.-r2.-f2.r2.-d0.-r0.d2.-f2.-d2.-f2,24,-r1.-f2.-d2.r1.-d0.r0.r0.-d2.r2.f1.-d0.f1.f2.d0.-f2.-r2.-f2.r2.-d0.-r0.d2.-f2.-d2.-f2,24,0
67,f2.-d2.f0.-r2.-r2.-d2.-d2.-f0.r0.-r2.-r2.-d2.-d2.-d0.r2.-d2.-d2.-f2.-f2.r0.r0.d2.-d0.-r2.-r2.-d2.-r0.r1.r2,29,f2.-d2.f0.-r2.-r2.-d2.-d2.-f0.r0.-r2.-r2.-d2.-d2.-d0.r2.-d2.-d2.-f2.-f2.r0.r0.d2.-d0.-r2.-r2.-d2.-r0.r1.r2,29,0
68,d0.r2.r1.f2.-d0.-r2.-f1.r0.f0.r1.-d0.-f1.r2.d0.r1.-r2.-d0.d1.r1.d0.f1.-d1.f0.r0,24,d0.r2.r1.f2.-d0.-r2.-f1.r0.f0.r1.-d0.-f1.r2.d0.r1.-r2.-d0.d1.r1.d0.f1.-d1.f0.r0,24,0
69,-f1.r2.f0.-r0.-d2.r2.-d2.-r2.-d0.-r0.d2.d0.f2.d1.-r2.-f2.-d2.-r2.d2.-f0.r2.-d0.r2,23,-f1.r2.f0.-r0.-d2.r2.-d2.-r2.-d0.-r0.d2.d0.f2.d1.-r2.-f2.-d2.-r2.d2.-f0.r2.-d0.r2,23,0
