index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
190,-f2.-f3.-f2.-f3.-r0.-r1.d0.d0.-r0.-r1.d0.d1.d0.d1.-f1.f0.d3.-r0.f3.d0.d1.d0.d1.-f2.-f3.-f2.-f3.d0.-f0.-r0.-r1.-f0.d0.-r3.-r3.-d3.-f3.-r2.-r3.-r2.-r3.f0.r0.r0.-d0.-f2.-f3.-f2.-f3.r0.r0.d0.f0.f1.f0.f1.-f3.-f3.-d3.f0.f0.r0.r1.r0.r1.d0.-r0.-d0.-f0.f3.-r3.-r3.-d3.r0.-f0.r0.r0.f3.-d0.r0.r0.-r3.-r3.f0.f0.d0.r0.r0.-d3.f0.f0.-f3.-f3.d3,94,-f2.-f3.-f2.-f3.-r0.-r1.d0.d0.-r0.-r1.d0.d1.d0.d1.-f1.f0.d3.-r0.f3.d0.d1.d0.d1.-f2.-f3.-f2.-f3.d0.-f0.-r0.-r1.-f0.d0.-r3.-r3.-d3.-f3.-r2.-r3.-r2.-r3.f0.r0.r0.-d0.-f2.-f3.-f2.-f3.r0.r0.d0.f0.f1.f0.f1.-f3.-f3.-d3.f0.f0.r0.r1.r0.r1.d0.-r0.-d0.-f0.f3.-r3.-r3.-d3.r0.-f0.r0.r0.f3.-d0.r0.r0.-r3.-r3.f0.f0.d0.r0.r0.-d3.f0.f0.-f3.-f3.d3,94,0
191,d0.d1.-f2.-f3.d0.d1.-r3.-r3.r0.r1.r0.r1.f2.f3.f0.r0.r0.d0.d1.d0.d1.r3.-r0.-r1.d3.-f3.-r0.-r1.d0.d1.d0.d1.r2.r3.r0.r1.r0.r1.-d0.-r3.-r3.r0.r0.f3.-d2.-d3.-d2.-d3.-r2.-r3.-r2.-r3.-f3.-f3.d3.-r2.-r3.-r2.-r3.d3.-r3.-r3.-d0.-f3.-f3.-r2.-r3.-r2.-r3.-d3.-d3.-f0.r3.-f0.-d0.-f3.-f3.r3.f0.f0.-d0.r0.d3.-f3.-f3.-r3.-r3.d0.d0.-f3.-f3.d0.-f3.-f3.r0.r0.-d3.f0.f0,99,d0.d1.-f2.-f3.d0.d1.-r3.-r3.r0.r1.r0.r1.f2.f3.f0.r0.r0.d0.d1.d0.d1.r3.-r0.-r1.d3.-f3.-r0.-r1.d0.d1.d0.d1.r2.r3.r0.r1.r0.r1.-d0.-r3.-r3.r0.r0.f3.-d2.-d3.-d2.-d3.-r2.-r3.-r2.-r3.-f3.-f3.d3.-r2.-r3.-r2.-r3.d3.-r3.-r3.-d0.-f3.-f3.-r2.-r3.-r2.-r3.-d3.-d3.-f0.r3.-f0.-d0.-f3.-f3.r3.f0.f0.-d0.r0.d3.-f3.-f3.-r3.-r3.d0.d0.-f3.-f3.d0.-f3.-f3.r0.r0.-d3.f0.f0,99,0
192,-f2.-f3.-f2.-f3.r0.r1.-f3.-f3.r3.-f0.-d0.-d1.-r0.-r1.d0.d0.r0.-f2.-f3.-f2.-f3.d3.d0.d1.d0.d1.-r2.-r3.d0.d1.d0.d1.r0.d0.-f3.d0.d1.d0.d1.r2.r2.f0.-d0.-f2.-f3.-f2.-f3.-d0.-r3.-r3.-d3.-f2.-f3.-f2.-f3.-d3.f0.f0.d0.f0.f1.f0.f1.r3.f0.-f3.-f3.-r0.-d3.-d3.r0.r0.-r3.-r3.d3.f3.-d0.r0.r0.d3.f0.f0.-r3.-r3.f0.f0.-d3.-d3.-r3.-r3.-d3,91,-f2.-f3.-f2.-f3.r0.r1.-f3.-f3.r3.-f0.-d0.-d1.-r0.-r1.d0.d0.r0.-f2.-f3.-f2.-f3.d3.d0.d1.d0.d1.-r2.-r3.d0.d1.d0.d1.r0.d0.-f3.d0.d1.d0.d1.r2.r2.f0.-d0.-f2.-f3.-f2.-f3.-d0.-r3.-r3.-d3.-f2.-f3.-f2.-f3.-d3.f0.f0.d0.f0.f1.f0.f1.r3.f0.-f3.-f3.-r0.-d3.-d3.r0.r0.-r3.-r3.d3.f3.-d0.r0.r0.d3.f0.f0.-r3.-r3.f0.f0.-d3.-d3.-r3.-r3.-d3,91,0
193,f0.-f3.-f3.r0.r1.-f2.-f3.-f2.-f3.-r0.f2.f3.f3.-d0.-f3.-f3.r0.r1.f3.d3.f0.f0.r2.r3.d0.d0.r0.r1.r0.r1.-d3.-d3.-r3.-r3.-f3.-d0.-r3.-r3.d3.-f2.-f3.-f2.-f3.-d3.-f2.-f3.-f2.-f3.-r2.-r3.-r2.-r3.-f0.d3.r0.-r3.d3.-f0.d0.-r3.-f3.-f3.-d3.-d3.f0.-f3.-f3.-d3.f0.f0.-f3.-f3.d3.f0.f0.-d0.r0.r0.-d3.-r3.-r3,81,f0.-f3.-f3.r0.r1.-f2.-f3.-f2.-f3.-r0.f2.f3.f3.-d0.-f3.-f3.r0.r1.f3.d3.f0.f0.r2.r3.d0.d0.r0.r1.r0.r1.-d3.-d3.-r3.-r3.-f3.-d0.-r3.-r3.d3.-f2.-f3.-f2.-f3.-d3.-f2.-f3.-f2.-f3.-r2.-r3.-r2.-r3.-f0.d3.r0.-r3.d3.-f0.d0.-r3.-f3.-f3.-d3.-d3.f0.-f3.-f3.-d3.f0.f0.-f3.-f3.d3.f0.f0.-d0.r0.r0.-d3.-r3.-r3,81,0
194,-d0.-d1.-f2.-f3.-f2.-f3.d0.d0.-f0.-f1.r0.-d0.-d1.-r3.-f0.-f2.-f3.-f2.-f3.d3.f3.-r3.-r3.-r0.-r1.d0.d1.d0.d1.-r0.-r1.-d2.-d3.-d2.-d3.-f0.d0.r2.r2.-f0.d0.d1.d0.d1.-f2.-f3.-f2.-f3.d0.f0.f0.-d3.f0.f0.-d3.-d3.f0.f0.-f2.-f3.-f2.-f3.r0.r1.r0.r1.d0.f0.f1.f0.f1.-d3.-f0.-r0.-f0.d3.f0.-d0.f0.f0.r0.r0.-r3.-f3.-r3.-r3.d3.f0.f0.r0.r0.f0.f0.d0.r0.r0.f0.f0.d3.-f3.-f3,101,-d0.-d1.-f2.-f3.-f2.-f3.d0.d0.-f0.-f1.r0.-d0.-d1.-r3.-f0.-f2.-f3.-f2.-f3.d3.f3.-r3.-r3.-r0.-r1.d0.d1.d0.d1.-r0.-r1.-d2.-d3.-d2.-d3.-f0.d0.r2.r2.-f0.d0.d1.d0.d1.-f2.-f3.-f2.-f3.d0.f0.f0.-d3.f0.f0.-d3.-d3.f0.f0.-f2.-f3.-f2.-f3.r0.r1.r0.r1.d0.f0.f1.f0.f1.-d3.-f0.-r0.-f0.d3.f0.-d0.f0.f0.r0.r0.-r3.-f3.-r3.-r3.d3.f0.f0.r0.r0.f0.f0.d0.r0.r0.f0.f0.d3.-f3.-f3,101,0
195,f3.d0.d1.f0.d0.d1.f2.f3.d2.d3.r3.f3.-d3.-r3.d1.d1.-f3.r2.r3.-d2.-d3.-d2.-d3.d0.d0.-f0.-r3.-r3.r0.r0.-f3.-d2.-d3.-d2.-d3.d0.r0.r0.d0.-f2.-f3.-f2.-f3.-r3.-r3.-d0.-f2.-f3.-f2.-f3.-d3.-d3.f0.f1.f0.f1.-d3.-f3.r0.d0.d0.-r0.-f3.r0.-f0.f3.-r3.-f3.-d3.d0.f0.f0.-d3.d0.d0.f0.f0.d0.d0.-f3.-f3.-r3.-r3.-d0,84,f3.d0.d1.f0.d0.d1.f2.f3.d2.d3.r3.f3.-d3.-r3.d1.d1.-f3.r2.r3.-d2.-d3.-d2.-d3.d0.d0.-f0.-r3.-r3.r0.r0.-f3.-d2.-d3.-d2.-d3.d0.r0.r0.d0.-f2.-f3.-f2.-f3.-r3.-r3.-d0.-f2.-f3.-f2.-f3.-d3.-d3.f0.f1.f0.f1.-d3.-f3.r0.d0.d0.-r0.-f3.r0.-f0.f3.-r3.-f3.-d3.d0.f0.f0.-d3.d0.d0.f0.f0.d0.d0.-f3.-f3.-r3.-r3.-d0,84,0
196,-d0.-d1.-r3.-r3.d0.d1.d0.d1.f0.f1.-d0.-d1.r0.r1.r0.r1.d0.-r0.-r1.d0.d1.d0.d1.r0.-r1.-f2.-f3.-f2.-f3.d3.-r0.-r1.-d3.-d3.f0.f1.f0.f1.r0.r1.r0.r1.f3.-r3.-r3.-d0.-r2.-r3.-r2.-r3.f0.f2.f2.r0.r0.-f2.-f3.-f2.-f3.r0.r0.-d3.r0.r1.r0.r1.f0.f0.d0.f0.f1.f0.f1.-r3.-r3.-d3.-d3.-r3.-d3.d0.r3.d0.f0.f0.r0.f3.d0.d0.r0.r0.-d3.f0.f0.d3.f0.f0.-f3.-f3.d3.-f3.-f3.r0.r0,103,-d0.-d1.-r3.-r3.d0.d1.d0.d1.f0.f1.-d0.-d1.r0.r1.r0.r1.d0.-r0.-r1.d0.d1.d0.d1.r0.-r1.-f2.-f3.-f2.-f3.d3.-r0.-r1.-d3.-d3.f0.f1.f0.f1.r0.r1.r0.r1.f3.-r3.-r3.-d0.-r2.-r3.-r2.-r3.f0.f2.f2.r0.r0.-f2.-f3.-f2.-f3.r0.r0.-d3.r0.r1.r0.r1.f0.f0.d0.f0.f1.f0.f1.-r3.-r3.-d3.-d3.-r3.-d3.d0.r3.d0.f0.f0.r0.f3.d0.d0.r0.r0.-d3.f0.f0.d3.f0.f0.-f3.-f3.d3.-f3.-f3.r0.r0,103,0
197,f3.r0.r1.r0.r1.d3.-f0.-f1.r0.r0.d2.d3.f3.r0.r1.f3.d3.-r0.-f3.-f3.r0.r1.-f2.-f3.-f2.-f3.r2.r3.f3.r0.r0.-d0.-r2.-r3.-r2.-r3.-f2.-f2.-f3.-d0.f0.f0.-r2.-r3.-r2.-r3.f0.f0.d3.r0.r1.r0.r1.r0.-d3.-d3.f3.d0.d0.-f3.-f3.-d3.-d3.-f3.-r0.f3.-d0.-f0.r0.r0.d3.d0.d0.-r3.-r3.d0.d0.-r3.-r3.-f3.-f3.r0.r0.d3.f0.f0,86,f3.r0.r1.r0.r1.d3.-f0.-f1.r0.r0.d2.d3.f3.r0.r1.f3.d3.-r0.-f3.-f3.r0.r1.-f2.-f3.-f2.-f3.r2.r3.f3.r0.r0.-d0.-r2.-r3.-r2.-r3.-f2.-f2.-f3.-d0.f0.f0.-r2.-r3.-r2.-r3.f0.f0.d3.r0.r1.r0.r1.r0.-d3.-d3.f3.d0.d0.-f3.-f3.-d3.-d3.-f3.-r0.f3.-d0.-f0.r0.r0.d3.d0.d0.-r3.-r3.d0.d0.-r3.-r3.-f3.-f3.r0.r0.d3.f0.f0,86,0
198,f0.f0.-f3.-f3.d0.d1.-f2.-f3.-f2.-f3.-r0.-r1.d2.d3.d0.-f2.-f3.-f2.-f3.-r0.-r1.f3.r0.r1.r0.r1.-d3.-d3.-f3.r2.r3.d0.r0.r1.r0.r1.d0.d0.-f3.d0.d1.d0.d1.-r2.-r3.-r2.-r3.f3.-d0.r0.r1.r0.r1.f0.f0.-r3.-r3.d3.r2.r2.-d3.-f2.-f3.-f2.-f3.d3.-f2.-f3.-f2.-f3.-r3.-r3.d0.f0.-r3.-r3.f3.-d0.r3.f3.r0.r0.-d3.r0.-d3.f0.f0.-d3.-d3.d0.f0.f0.-d0.-f3.-f3.-d0.f0.f0.d0.d0,100,f0.f0.-f3.-f3.d0.d1.-f2.-f3.-f2.-f3.-r0.-r1.d2.d3.d0.-f2.-f3.-f2.-f3.-r0.-r1.f3.r0.r1.r0.r1.-d3.-d3.-f3.r2.r3.d0.r0.r1.r0.r1.d0.d0.-f3.d0.d1.d0.d1.-r2.-r3.-r2.-r3.f3.-d0.r0.r1.r0.r1.f0.f0.-r3.-r3.d3.r2.r2.-d3.-f2.-f3.-f2.-f3.d3.-f2.-f3.-f2.-f3.-r3.-r3.d0.f0.-r3.-r3.f3.-d0.r3.f3.r0.r0.-d3.r0.-d3.f0.f0.-d3.-d3.d0.f0.f0.-d0.-f3.-f3.-d0.f0.f0.d0.d0,100,0
199,d0.d0.f0.f0.d3.d2.d3.-f0.-f1.-f2.-f3.-f2.-f3.r0.r1.-f3.r0.r1.-f3.d0.d0.r2.r3.d0.d1.d0.d1.-f0.r3.f0.f0.d2.d2.d0.-f0.-r3.-r3.-d2.-d3.-d2.-d3.f3.f0.f0.r2.r2.-f2.-f3.-f2.-f3.d0.f0.f0.-d3.-f2.-f3.-f2.-f3.-r2.-r3.-r2.-r3.d3.-r2.-r3.-r2.-r3.-f0.r3.-d3.-d3.-f3.r0.-d3.-r0.-r3.f0.f0.d0.d0.-f3.-r3.-r3.-f3.-f3.-r3.-r3.d3.f0.f0.-f3.-f3.r0.r0.f0.f0.-d0.r0.r0,99,d0.d0.f0.f0.d3.d2.d3.-f0.-f1.-f2.-f3.-f2.-f3.r0.r1.-f3.r0.r1.-f3.d0.d0.r2.r3.d0.d1.d0.d1.-f0.r3.f0.f0.d2.d2.d0.-f0.-r3.-r3.-d2.-d3.-d2.-d3.f3.f0.f0.r2.r2.-f2.-f3.-f2.-f3.d0.f0.f0.-d3.-f2.-f3.-f2.-f3.-r2.-r3.-r2.-r3.d3.-r2.-r3.-r2.-r3.-f0.r3.-d3.-d3.-f3.r0.-d3.-r0.-r3.f0.f0.d0.d0.-f3.-r3.-r3.-f3.-f3.-r3.-r3.d3.f0.f0.-f3.-f3.r0.r0.f0.f0.-d0.r0.r0,99,0
