index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
0,r1.-f1,2,r1.-f1,2,0
1,f0.r1.f1.-d0.-d0.-f0.-r0.f0.d0,9,f0.r1.f1.-d0.-d0.-f0.-r0.f0.d0,9,0
2,-d1.-r0.f0.-r1.f1.d1.-r1.-f0.d1.f0.d1.d1,12,-d1.-r0.f0.-r1.f1.d1.-r1.-f0.d1.f0.d1.d1,12,0
3,-f0.d0.-r0.f0.-d0.-r0.d0.-f0.-r0.-f0,10,-f0.d0.-r0.f0.-d0.-r0.d0.-f0.-r0.-f0,10,0
4,-r1.-f0.d0.r0.-d1.-d1.r1.d1.f0.r1.-d1.-r1,12,-r1.-f0.d0.r0.-d1.-d1.r1.d1.f0.r1.-d1.-r1,12,0
5,-f0.-f0.-r0.-f0.-f0.-r0.f0.f0.-d1.-f0,10,-f0.-f0.-r0.-f0.-f0.-r0.f0.f0.-d1.-f0,10,0
6,r0.d1.-f0.r0.f0.f0.-d0.f0.d0.d0,10,r0.d1.-f0.r0.f0.f0.-d0.f0.d0.d0,10,0
7,-f0.-f0.-r0.d1.-r1.-r1.-f1.d0.-r0.f0.d0,11,-f0.-f0.-r0.d1.-r1.-r1.-f1.d0.-r0.f0.d0,11,0
8,r1.r1.d1.f0.d0.-f0.d0.d0.-f0.-r0,10,r1.r1.d1.f0.d0.-f0.d0.d0.-f0.-r0,10,0
9,d1.-f0.-r1.-f0.-r0.-f0.d1.-d0.-f1.r1,10,d1.-f0.-r1.-f0.-r0.-f0.d1.-d0.-f1.r1,10,0
10,f0.d1.-r0.-r0.-d1.-r0.f1.-r0.-r0.f1,10,f0.d1.-r0.-r0.-d1.-r0.f1.-r0.-r0.f1,10,0
11,-r0.d0.-r0.-f0.r0.f1.-r0.f0.f0,9,-r0.d0.-r0.-f0.r0.f1.-r0.f0.f0,9,0
12,r0.-d1.-d1.-f1.d1.-r1.-r1.f0.r1.d0.-f0.d0,12,r0.-d1.-d1.-f1.d1.-r1.-r1.f0.r1.d0.-f0.d0,12,0
13,-f0.f1.-r1.f1.d1.-f1.r1.f1.r1.f1.f1,11,-f0.f1.-r1.f1.d1.-f1.r1.f1.r1.f1.f1,11,0
14,f0.-d1.f0.-r0.d0.-r0.-f1.-f1.r0.-d0.-r0.-r0,12,f0.-d1.f0.-r0.d0.-r0.-f1.-f1.r0.-d0.-r0.-r0,12,0
15,-d0.-f0.-r1.-d0.r0.-d0.-f1.d0.-r0.f1,10,-d0.-f0.-r1.-d0.r0.-d0.-f1.d0.-r0.f1,10,0
16,-f0.-d0.-f1.-r0.-f1.-r0.d1.f1.-r1.-d1.r1,11,-f0.-d0.-f1.-r0.-f1.-r0.d1.f1.-r1.-d1.r1,11,0
17,r0.r0.d0.r0.-r1.d1.r1.-f1.d1.r0,10,r0.r0.d0.r0.-r1.d1.r1.-f1.d1.r0,10,0
18,f1.d1.f0.d1.d1.-r0.-d1.-r0.d1.-r0.-r0,11,f1.d1.f0.d1.d1.-r0.-d1.-r0.d1.-r0.-r0,11,0
19,-f1.-d0.-r1.d1.-f0.d0.-f0.-d0.-f0.-d1.-f0.d1,12,-f1.-d0.-r1.d1.-f0.d0.-f0.-d0.-f0.-d1.-f0.d1,12,0
20,-f0.r1.-d0.d1.r0.-f0.-d0.-f0.d0.-f0.-d0.f0,12,-f0.r1.-d0.d1.r0.-f0.-d0.-f0.d0.-f0.-d0.f0,12,0
21,-f1.r1.-f0.r0.f1.d0.r1.r1.-d0.-f1.-d0.-f1,12,-f1.r1.-f0.r0.f1.d0.r1.r1.-d0.-f1.-d0.-f1,12,0
22,-f1.-r1.-f0.-d1.-f1.-d0.r0.-d0.-d0.-f0.-d0,11,-f1.-r1.-f0.-d1.-f1.-d0.r0.-d0.-d0.-f0.-d0,11,0
23,f1.-d0.f1.-f0.-r1.-d0.-d0.r0.r0,9,f1.-d0.f1.-f0.-r1.-d0.-d0.r0.r0,9,0
24,d1.-r0.-d0.-f0.d0.f0.-d0.-f0.-f0.d0.d0,11,d1.-r0.-d0.-f0.d0.f0.-d0.-f0.-f0.d0.d0,11,0
25,-d0.-r1.-d1.-f0.d0.r1.-f1.-r0.d1.-r0.-d1.-r0.-r0,13,-d0.-r1.-d1.-f0.d0.r1.-f1.-r0.d1.-r0.-d1.-r0.-r0,13,0
26,f1.f1.-d0.-f1.r0.-d0.-r1.f1.d1.-r0.f1,11,f1.f1.-d0.-f1.r0.-d0.-r1.f1.d1.-r0.f1,11,0
27,d0.-r0.d0.f0.-d0.r0.d1.r1.d1.r0.-f0,11,d0.-r0.d0.f0.-d0.r0.d1.r1.d1.r0.-f0,11,0
28,-r1.f0.r1.f0.-d0.-d0.-r0.f0.f0.d0.r0,11,-r1.f0.r1.f0.-d0.-d0.-r0.f0.f0.d0.r0,11,0
29,f1.-r0.f1.d1.-f1.-d1.f1.-r1.-d1.-f1,10,f1.-r0.f1.d1.-f1.-d1.f1.-r1.-d1.-f1,10,0
