index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
30,-d2.-f0.-d2.-r1.r0.d2.f2.-d1.r1.-d0.r0.d0.r2.-d0.f2.-f0.-d0.f0.-r2.-f1.-r1.-r0.-d2.r1,24,-d2.-f0.-d2.-r1.r0.d2.f2.-d1.r1.-d0.r0.d0.r2.-d0.f2.-f0.-d0.f0.-r2.-f1.-r1.-r0.-d2.r1,24,0
31,f2.-f0.-r2.d0.r2.-r1.-d2.-r0.f0.-d1.f2.-r0.-d1.-r1.-f0.-d2.f0.d2.-f0.-r0.f0.f0.r0.d1.-f2.-f0,26,f2.-f0.-r2.d0.r2.-r1.-d2.-r0.f0.-d1.f2.-r0.-d1.-r1.-f0.-d2.f0.d2.-f0.-r0.f0.f0.r0.d1.-f2.-f0,26,0
32,r0.d2.-f0.r1.f2.-r0.-d2.d1.-r2.f1.d2.d1.-f2.-r1.d0.f0.-d2.-f1.-r1.-f2.r1.f2.-d0.-d1,24,r0.d2.-f0.r1.f2.-r0.-d2.d1.-r2.f1.d2.d1.-f2.-r1.d0.f0.-d2.-f1.-r1.-f2.r1.f2.-d0.-d1,24,0
33,f0.-r2.f0.-f1.f0.r0.-d2.f2.-d1.d2.-f0.-d2.-r2.f0.-r2.d2.d1.f0.-d2.-r2.f0.r2.-f0.-f1.d2.-f1.-d2.f1.d0,29,f0.-r2.f0.-f1.f0.r0.-d2.f2.-d1.d2.-f0.-d2.-r2.f0.-r2.d2.d1.f0.-d2.-r2.d2.-f1.-d2.-f2.-d0.f2.d0,27,2
34,-f2.f0.-r2.-d1.r0.f1.-r2.-f0.-r0.-f2.-d2.f0.d1.-r2.-r2.d2.f0.-r2.d2.r2.d2.-f0.d2.-r2.-d2.d0,26,-f2.f0.-r2.-d1.r0.f1.-r2.-f0.-r0.-f2.-d2.f0.d1.-r2.-r2.d2.f0.-r2.d2.r2.d2.-f0.d2.-r2.-d2.d0,26,0
35,-f2.d2.r1.-f0.-d0.f2.r0.d0.-r0.-r0.f2.r0.r0.-d1.-r1.d1.-f2.-d2.f2.-r0.d2.-r0.-d0.-f0,24,-f2.d2.r1.-f0.-d0.f2.r0.d0.-r0.-r0.f2.r0.r0.-d1.-r1.d1.-f2.-d2.f2.-r0.d2.-r0.-d0.-f0,24,0
36,-f2.-d0.d2.-f2.r1.-f2.d2.-r2.r0.f2.-r0.d2.d0.f2.-d0.-f0.-r0.-f1.r0.d0.f0.-r0.f1.d1.-r0.-d1.-r0,27,-f2.-d0.d2.-f2.r1.-f2.d2.-r2.r0.f2.-r0.d2.d0.f2.-d0.-f0.-r0.-f1.r0.d0.f0.-r0.f1.d1.-r0.-d1.-r0,27,0
37,d0.-f0.d2.f1.-r2.-f1.-r2.d0.-r2.-r2.-d0.-f1.r0.f0.f0.-d1.r1.d1.-f0.-d2.r2.d2.-r2,23,d0.-f0.d2.f1.-r2.-f1.-r2.d0.-r2.-r2.-d0.-f1.r0.f0.f0.-d1.r1.d1.-f0.-d2.r2.d2.-r2,23,0
38,r0.r2.f2.-d1.r0.-f2.-d0.-d2.-f2.-d0.f1.r0.f0.-d0.r2.-d0.-r2.r1.f0.d1.-f0.-r1.-d0,23,r0.r2.f2.-d1.r0.-f2.-d0.-d2.-f2.-d0.f1.r0.f0.-d0.r2.-d0.-r2.r1.f0.d1.-f0.-r1.-d0,23,0
39,d0.f2.r1.-d0.-r2.f0.-r0.-r0.-r1.-f1.-d2.-r1.d0.-d2.f0.d0.-r1.f1.r1.-d0.-f0.-f0,22,d0.f2.r1.-d0.-r2.f0.-r0.-r0.-r1.-f1.-d2.-r1.d0.-d2.f0.d0.-r1.f1.r1.-d0.-f0.-f0,22,0
