index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
284,-r.-l.r.-l.-r.-l.-l,7,-r.-l.r.-l.-r.-l.-l,7,0
285,-r.-l.-l,3,-r.-l.-l,3,0
286,-r.l.r.l.l,5,-r.l.r.l.l,5,0
287,-r.l,2,-r.l,2,0
288,-l.r.-l.-l.-r.-l,6,-l.r.-l.-l.-r.-l,6,0
289,-l.-r.-l.-l.-r.l.l.r,8,-l.-r.-l.-l.-r.l.l.r,8,0
290,-l.-l.-l.r.-l.-r.-l.-r.-l.-l,10,-l.-l.-l.r.-l.-r.-l.-r.-l.-l,10,0
291,r.l.-r.l.l,5,r.l.-r.l.l,5,0
292,-l.r.l.l.l.r.l.l,8,-l.r.l.l.l.r.l.l,8,0
293,-l.-r.-l.-r.l.l.r.l,8,-l.-r.-l.-r.l.l.r.l,8,0
294,-r.l.r.-l.-r.l.l.r.l.l,10,-r.l.r.-l.-r.l.l.r.l.l,10,0
295,-r.l.-r.l.r.l.r.l.l,9,-r.l.-r.l.r.l.r.l.l,9,0
296,r.-l.-r.-l.r.-l.r.-l.-l.-r,10,r.-l.-r.-l.r.-l.r.-l.-l.-r,10,0
297,-l.-l.-r.l.l.-r.-l.-l.r,9,-l.-l.-r.l.l.-r.-l.-l.r,9,0
298,-l.-l.-r.l.r.l.-r,7,-l.-l.-r.l.r.l.-r,7,0
299,-l.-l.-l.-r.-l.r.-l.-r,8,-l.-l.-l.-r.-l.r.-l.-r,8,0
300,-l.-l.r.l.l.-r.l.-r.-l.-l,10,-l.-l.r.l.l.-r.l.-r.-l.-l,10,0
301,r.l.r.-l.-l,5,r.l.r.-l.-l,5,0
302,-r.l.r.l.-r.l.r.-l.-l,9,-r.l.r.l.-r.l.r.-l.-l,9,0
303,-l.r.-l.-l.-r.-l.-r.-l.r.-l.-r,11,-l.r.-l.-l.-r.-l.-r.-l.r.-l.-r,11,0
304,-r.-r.l.r.l.l.-r.-r.-r.-l,10,-r.-r.l.r.l.l.-r.-r.-r.-l,10,0
305,r.-l.-l.r.-l.-l.-r.-l.-l,9,r.-l.-l.r.-l.-l.-r.-l.-l,9,0
306,-l.-r.-l.r.l.-r.l.l.-r.-r,10,-l.-r.-l.r.l.-r.l.l.-r.-r,10,0
307,-l.-r.-l.-r.-r.l.l.l.-r.-r,10,-l.-r.-l.-r.-r.l.l.l.-r.-r,10,0
308,-r.l.r.l.l.r.l.-r,8,-r.l.r.l.l.r.l.-r,8,0
309,-l.-l.-l.-r.-l,5,-l.-l.-l.-r.-l,5,0
310,-r.-r.-r,3,-r.-r.-r,3,0
311,-l.-r.-r.l.l.-r.-l.r.-l.-l,10,-l.-r.-r.l.l.-r.-l.r.-l.-l,10,0
312,-r.l.r.l.-r.-r.-l.-l.-l.-r,10,-r.l.r.l.-r.-r.-l.-l.-l.-r,10,0
313,l.-r.l.-r.-l.-r.-l.-r.-r.-l,10,l.-r.l.-r.-l.-r.-l.-r.-r.-l,10,0
314,-l.-l.-r.-l.-r.l.-r.l,8,-l.-l.-r.-l.-r.l.-r.l,8,0
315,-l.-r.-l.-r.-r.-l.-r.-r.l.l,10,-l.-r.-l.-r.-r.-l.-r.-r.l.l,10,0
316,r.l.r.l.-r.-r.-l.-l,8,r.l.r.l.-r.-r.-l.-l,8,0
317,r.l.-r.-l.-r.-r.-l.-l,8,r.l.-r.-l.-r.-r.-l.-l,8,0
318,-r.-l.-l.r.-l.-l.-r.-l.r,9,-r.-l.-l.r.-l.-l.-r.-l.r,9,0
319,l.r.l.l.r.-l.r.-l.-l.r.r.r.-l.-l.r.-l,16,l.r.l.l.r.-l.r.-l.-l.r.r.r.-l.-l.r.-l,16,0
320,l.l.l.l.r.l.l.r.-l.-l.r.-l.r.r.-l,15,l.l.l.l.r.l.l.r.-l.-l.r.-l.r.r.-l,15,0
321,r.-l.-l.-l.-r.l.r.-l.r.-l.r.-l.r.l,14,r.-l.-l.-l.-r.l.r.-l.r.-l.r.-l.r.l,14,0
322,r.l.l.l.r.l.-r.l.l.-r.l.l.-r.l.-r.-r.-r.l,18,r.l.l.l.r.l.-r.l.l.-r.l.l.-r.l.-r.-r.-r.l,18,0
323,-r.-r.-r.l.-r.-r.-r.l.-r.l.l.r.r.l.-r.l.-r.-r.-r,19,-r.-r.-r.l.-r.-r.-r.l.-r.l.l.r.r.l.-r.l.-r.-r.-r,19,0
324,l.l.-r.l.l.-r.l.l.r.-l.-r.-r.-r.-l.-l.-l.-r,17,l.l.-r.l.l.-r.l.l.r.-l.-r.-r.-r.-l.-l.-l.-r,17,0
